document_title,document_text,question_text,yes_no_answer,short_answer1,short_answer2,short_answer3,short_answer4,short_answer5,short_answer6,short_answer7,short_answer8,short_answer9,short_answer10,short_answer11,short_answer12,short_answer13,short_answer14,short_answer15,short_answer16,short_answer17,short_answer18,short_answer19,short_answer20,short_answer21,short_answer22,short_answer23
Therefore sign,,what do the 3 dots mean in math,NONE,816-837,,,,,,,,,,,,,,,,,,,,,,
Watchman (law enforcement),,when was the writ watch invented by who,NONE,,,,,,,,,,,,,,,,,,,,,,,
Photograph (Ringo Starr song),,who wrote the song photograph by ringo starr,NONE,,,,,,,,,,,,,,,,,,,,,,,
Super Bowl 50 halftime show,,who is playing the halftime show at super bowl 2016,NONE,199-208,,,,,,,,,,,,,,,,,,,,,,
Matt Lanter,,star wars the clone wars anakin voice actor,NONE,,,,,,,,,,,,,,,,,,,,,,,
A Whiter Shade of Pale,,meaning behind the song whiter shade of pale,NONE,,,,,,,,,,,,,,,,,,,,,,,
Globe,,where is most distortion found on a globe,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of A Certain Scientific Railgun episodes,,to aru kagaku no railgun s episode 3,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of Seraph of the End chapters,,when do new chapters of owari no seraph come out,NONE,,,,,,,,,,,,,,,,,,,,,,,
Surname,,where does the last name painter come from,NONE,,,,,,,,,,,,,,,,,,,,,,,
Dominance (genetics),,dominant alleles are always the most common allele in a population,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of woods,,an eastern red cedar is a hardwood or softwood,NONE,,,,,,,,,,,,,,,,,,,,,,,
Ahmedabad textile industry,,what are the challenges faced by the cotton textile industry of ahmedabad,NONE,,,,,,,,,,,,,,,,,,,,,,,
2017 BBC Sports Personality of the Year Award,,who won the 2017 sports personality of the year,NONE,102-104,,,,,,,,,,,,,,,,,,,,,,
I've Got the Joy Joy Joy Joy,,i got the joy joy joy down in my heart lyrics,NONE,,,,,,,,,,,,,,,,,,,,,,,
Sports in the Las Vegas metropolitan area,,is there a basketball team in las vegas,YES,,,,,,,,,,,,,,,,,,,,,,,
Windsor Castle,,who lives in the grounds of windsor castle,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of protected areas of the Philippines,,list of environmentally critical areas in the philippines,NONE,,,,,,,,,,,,,,,,,,,,,,,
"After the Bath, Woman Drying Herself",,after the bath woman drying herself elements of design,NONE,,,,,,,,,,,,,,,,,,,,,,,
Super-G,,what’s the difference between downhill and super g,NONE,,,,,,,,,,,,,,,,,,,,,,,
World Economic Forum,,where was the world economic forum held this year,NONE,272-287,,,,,,,,,,,,,,,,,,,,,,
Redwood National and State Parks,,where are the giant redwoods located in california,NONE,83-85,86-89,,,,,,,,,,,,,,,,,,,,,
